N.;Comune;Località;Titolare Concessione;Tipologia concessoria (L.R. 13/2007 e R.R. n. 11/2009);N. Concess. Data rilascio;Denominazione;Superficie scoperta mq.;Opere facile rimozione mq.;Opere difficile rimozione mq.;Pertinenze  mq.;Totale superficie coperta mq.;Fronte mare metri lineari;Specchio acqueo mq.
39;MINTURNO;LUNGOMARE;PAOLO MAIRA;ER;Conc. N. 03/2008;CHIOSCO BAR DELLA VITTORIA;;;55,6;16,4;72;;
40;MINTURNO;LUNGOMARE;GIGLA SNC DI PIMPINELLA GIANLUCA & DI NARDO CLARA;ER;Conc. N. 43/2005;CHIOSCO BAR WIMPI'S;;;;54,8;54,8;;
41;MINTURNO;LUNGOMARE;PAPPA ANTONIO & CAMEROTA GIOVANNA;SR;Conc. N. 11/2009;VILLA ELEONORA;1650;;;;;30;
42;MINTURNO;MONTE D'ARGENTO;MATTEO PUGLIESE;SR;Conc. N. 02/2008;CAMPING GOLDEN GARDEN;750;;;;;88,5;
43;MINTURNO;LUNGOMARE;LAZIO CASE VACANZE SRL;SR;Conc. N. 70/2007;LAZIO CASE VACANZE;1220;;;;;20;
44;MINTURNO;LUNGOMARE;DARSENA FLYING SRL;PO;Conc. N. 43/2006;DARSENA FLYING;1315,61;216,86;2189,7;;2406,56;;5173,83
45;MINTURNO;LUNGOMARE;SUORE ALCANTARINE DI POMPEI;SR;Conc. N. 07/2008;CASA PER FERIE;3150;;;;;50;
46;MINTURNO;MONTE D'ORO;SALVATORE GIOVANNI PIROLOZZI;PO;Conc. N. 36/2011;;;;;;;;425
47;MINTURNO;MONTE D'ORO;SALVATORE GIOVANNI PIROLOZZI;PO;Conc. N. 37/2011;;;;;;;;400
48;MINTURNO;MONTE D'ORO;P.O.D.A. COOPERATIVA A RL;PO;Conc. N. 34/2006;;;;;;;;2947,5
1;MONTALTO DI CASTRO;CASALACCIO, SNC  -  PESCIA ROMANA;SOC. CASALACCIO S.A.S. DI CESARE CAVALLARO E SOLIMA ZAPPONI;SA;Conc. N. 56/2011;CASALACCIO SAS;933,85;266,15;;;266,15;65;
2;MONTALTO DI CASTRO;LUNGOMARE HARMINE S.N.C. - MONTALTO DI CASTRO;SOC. ENTERPRISE 2012 S.R.L.;SA;Conc. N. 50/2011;ENTERPRISE 2012 SRL;2670;80;;;80;51,8;
3;MONTALTO DI CASTRO;LOCALITA' GRATICCIARE - PESCIA ROMANA;SOC. L'OMBRA DI PAOLA LUCHERINI & C;SA;Conc. N. 53/2011;L'OMBRA DI LUCHERINI PAOLA;1026;174;;;174;50;
4;MONTALTO DI CASTRO;LUNGOMARE HARMINE, 58 - MONTALTO DI CASTRO;SOC. SERNI MARE S.A.S. DI FRANCESCO ALBANESE;SB;Conc. N. 42/2008;STELLA POLARE;3887;;;;;66;
5;MONTALTO DI CASTRO;LUNGOMARE HARMINE, 42 - MONTALTO DI CASTRO;MARIA ELEUTERI;SB;Conc. N. 45/2008;MAREMMA;3155;16;13;;29;75;
6;MONTALTO DI CASTRO;LUNGOMARE HARMINE, 62 - MONTALTO DI CASTRO;SOC. IL CORMORANO S.A.S. DI BRUNO FIORELLI;SB;Conc. N. 51/2011;IL CORMORANO;5192,2;289,2;285,6;;574,8;79;
7;MONTALTO DI CASTRO;LUNGOMARE HARMINE, SNC - MONTALTO DI CASTRO;SOC. TROPICANA S.A.S. DI IACOROSSI EUNO & C.;SA;Conc. N. 49/2011;SOC. TROPICANA SPA;530,43;69,57;;;69,57;17;
8;MONTALTO DI CASTRO;FOCE VECCHIA SNC - PESCIA ROMANA;CONSORZIO TURISTICO DI PESCIA ROMANA COMP. A;SA;Conc. N. 61/2011;CONS. TURISTICO PESCIA ROMANA COMP. A;2550;;;;;150;
9;MONTALTO DI CASTRO;FOCE VECCHIA SNC - PESCIA ROMANA;CONSORZIO TURISTICO DI PESCIA ROMANA COMP. B;SA;Conc. N. 60/2011;CONS. TURISTICO PESCIA ROMANA COMP. B;3450;;;;;200;
10;MONTALTO DI CASTRO;LOCALITA' GRATICCIARE  -  PESCIA ROMANA;PATRIZIA PENSALFINE;SA;Conc. N. 52/2011;PENSALFINE PATRIZIA;696,43;503,57;;;503,57;63;
11;MONTALTO DI CASTRO;LUNGOMARE HARMINE, SNC - MONTALTO DI CASTRO;SOC. ALBATROS S.P.A. DI LAURA ADRIANI;SB;Conc. N. 62/2011;LA RISACCA;5831,42;;;;;59,4;
12;MONTALTO DI CASTRO;LE MURELLE - MONTALTO DI CASTRO;CIRCOLO VELICO TORRE DI MAREMMA;SA;Conc. N. 57/2011;CIRCOLO VELICO TORRE DI MAREMMA;9160;40;;;40;300;
13;MONTALTO DI CASTRO;LOC.RAGLIETTO GRANDE - PESCIA ROMANA;ASSOCIAZIONE CIRCOLO NAUTICO MAL DI MARE;SA;Conc. N. 63/2011;ASS.NE CIRCOLO NAUTICO MAL DI MARE;1160;40;;;40;65;
14;MONTALTO DI CASTRO;LOC. CAVALLARO - PESCIA ROMANA;SOC. VULCIMARE S.R.L.;SA;Conc. N. 59/2011;CAMPING DEGLI AMICI;5144;16;;;16;190;
15;MONTALTO DI CASTRO;LUNGOMARE HARMINE, 64 - MONTALTO DI CASTRO;LIA DE GROSSI;SB;Conc. N. 38/2008;IL GABBIANO;4985,69;;899,2;;899,2;90;
16;MONTALTO DI CASTRO;LE MURELLE - MONTALTO DI CASTRO;SOC. LE MURELLE S.A.S. DI PAMELA NOLLETTI & C.;SB;Conc. N. 37/2008;LE MURELLE;2746,63;383,57;543,12;;926,69;288;
17;MONTALTO DI CASTRO;LUNGOMARE HARMINE, 44 - MONTALTO DI CASTRO;SOC. IL CAMBUSIERO S.A.S. DI FRANCESCO BRUNORI &C;SB;Conc. N. 44/2008;IL CAMBUSIERO;4277,05;;;;;90;
18;MONTALTO DI CASTRO;LUNGOMARE HARMINE, 26 - MONTALTO DI CASTRO;SOC. IPPOCAMPO S.A.S. DI LIA DE GROSSI & C.;SB;Conc. N. 39/2008;IPPOCAMPO;2207,83;;;;;55;
19;MONTALTO DI CASTRO;LOC. LE CASALETTE - MONTALTO DI CASTRO;SOC. VULCIMARE S.R.L.;SA;Conc. N. 58/2011;CAMPEGGIO CALIFORNIA;5036,23;;;;;150;
20;MONTALTO DI CASTRO;LOC. TOMBOLO DELLA FOCE - PESCIA ROMANA;MAURO MARIANI;SA;Conc. N. 54/2011;MARIANI MAURO;1094;106;;;106;58;
