N.;Comune;Località;Titolare Concessione;Tipologia concessoria (L.R. 13/2007 e R.R. n. 11/2009);N. Concess. Data rilascio;Denominazione;Superficie scoperta mq.;Opere facile rimozione mq.;Opere difficile rimozione mq.;Pertinenze  mq.;Totale superficie coperta mq.;Fronte mare metri lineari;Specchio acqueo mq.
15;SPERLONGA;LOCALITA' BAZZANO;CAPOTOSTO CLAUDIO;SB;Conc. N. 13/2007;LIDO IL PIRATA;575;25;;;25;20;
16;SPERLONGA;LOCALITA' BAZZANO;RICCIO GIOVANNI;SB;Conc. N. 11/2005;LIDO ROCCIA DEI FALCHI;1009,65;140,35;;;140,35;50;
17;SPERLONGA;LOCALITA' SALETTE;CORPOLONGO FRANCESCO;SB;Conc. N. 05/2011;LIDO OLIMPO;1290;;;;;60;
18;SPERLONGA;LOCALITA' ANGOLO;FAIOLA ROCCO &  C. S.A.S.;SB;Conc. N. 05/2004;LIDO DA ROCCO;5674,4;204,1;;361,5;565,6;140;
19;SPERLONGA;LOCALITA' ANGOLO;ZUENA  VINCENZO PAOLINO;SB;Conc. N. 09/2005;LIDO LA CASETTA;1603,22;144;;;144;50;
20;SPERLONGA;LOCALITA' LAGO LUNGO;SOC.STELLA DEL TIRRENO DEI F.LLI ILARIO S.N.C.;SA;Conc. N. 06/2003;ALBERGO STELLA DEL TIRRENO;1170;;;;;65;
21;SPERLONGA;LOCALITA' SPIAGGIA DELLA FONTANA;CHINAPPI - TOSCANO- ESPOSITO;SA;Conc. N. 04/2006;HOTEL MAYOR-HOTEL MARCONI-RESIDENCE FLORENCE;1422,5;25;;;25;39;
22;SPERLONGA;LOCALITA' CANZATORA;D'URSO GIUSEPPE;SB;Conc. N. 02/2007;LIDO ZANZIBAR;1969;;285;;285;74;
23;SPERLONGA;LOCALITA' LAGO LUNGO N.63;SOC.IL GABBIANO DI ROSATI AMLETO E OLGA S.N.C.;SB;Conc. N. 16/2006;LIDO IL GABBIANO;3511,6;;453,76;;453,76;100;
24;SPERLONGA;LOCALITA' BAZZANO;SUPRANO GABRIELLA;SB;Conc. N. 10/2005;LIDO BAIA DELLE SIRENE;1859,65;140,35;;;140,35;50;
25;SPERLONGA;LOCALITA' FOCE LAGO LUNGO;LA CALIFFA S.R.L.;SR;Conc. N. 11/2001;CAMPEGGIO LA CALIFFA;2040;;60;;60;;
26;SPERLONGA;LOCALITA' SALETTE;NUOVA PLAYA S.P.A.;SA;Conc. N. 15/2006;HOTEL LA PLAYA;2348;16,5;;;16,5;55;
27;SPERLONGA;LOCALITA' SALETTE;COOP.PONENTE A.R.L.;SB;Conc. N. 19/2005;LIDO PONENTE;1360,25;154,75;;;154,75;50;
28;SPERLONGA;LOCALITA' SALETTE;CONTE FILIPPO e ELEUTERIO;SB;Conc. N. 23/2005;LIDO LA NAVE;2,481,00;13,8;;;13,8;166,8;
29;SPERLONGA;LOCALITA' BAZZANO;CAPOTOSTO CLAUDIO;SB;Conc. N. 05/2008;LIDO IL PIRATA;1398,67;101,33;;;101,33;50;
30;SPERLONGA;GROTTA DELLE BAMBOLE;INZOLIA GIULIA;SB;Conc. N. 03/2006;LIDO EL SOMBRERO;3130,29;;69,83;1779,88;1849,71;;
31;SPERLONGA;LOCALITA' ANGOLO;MARRONE CARMELA;SB;Conc. N. 02/2006;LIDO BAIA AZZURRA;5933,1;233,9;;;233,9;75;
32;SPERLONGA;LOCALITA' BAZZANO;S.N.C. NUOVO FORTINO DI TRANI AMALIA & C.;SA;Conc. N. 06/2005;RISTORANTE AL FORTINO;1215;;;;;135;
33;SPERLONGA;LOCALITA' GROTTA DI TIBERIO;SOC.  VALLE CORSARI S.R.L.;SA;Conc. N. 02/2012;VALLE CORSARI;1250;;;;;50;
34;SPERLONGA;LOCALITA' ANGOLO;A.I.T.V.S. DI SCHIAPPA LUCIANO;SA;Conc. N. 09/2006;ASSOCIAZIONE ITALIANA TAVOLE A VELA;1209;;;;;10;
35;SPERLONGA;LOCALITA' SALETTE;MINNUCCI DINA;SB;Conc. N. 10/2006;LIDO PEONIA;720;;;;;40;
36;SPERLONGA;LOCALITA' ANGOLO;SOCIETA' NORD SUD S.R.L.;SA;Conc. N. 20/2005;CAMPEGGIO NORD SUD;2177;;;;;65;
37;SPERLONGA;LOCALITA' ANGOLO;DI NITTO MARIO;SB;Conc. N. 41/2002;LIDO BELVEDERE;1802,47;60,96;;;60,96;30;
38;SPERLONGA;LOCALITA' ANGOLO;SOCIETA' GROTTA DEI DELFINI S.R.L.;SB;Conc. N. 02/2004;LIDO GROTTA DEI DELFINI;8723;;;566,7;566,7;100;
39;SPERLONGA;LOCALITA' TORRE CAPOVENTO;SOC.TORRE CAPOVENTO DI SPARACO ANTONIO & C. S.A.S.;SR;Conc. N. ANNO 1994;ALBERGO TORRE CAPOVENTO;2250;;5;;5;;
40;SPERLONGA;LOCALITA' PALLANTE;DI FAZIO ENZO;SB;Conc. N. 12/2005;LIDO DA ENZO;1960,6;139,4;;;139,4;70;
41;SPERLONGA;LOCALITA' LAGO LUNGO;LIDO BELUCA S.A.S. DI PARISELLA ALESSIO & C.;SB;Conc. N. 08/2003;LIDO BELUCA;1227,2;172,8;;;172,8;70;
42;SPERLONGA;LOCALITA' BAZZANO;LOMBARDO RAFFELINA;SA;Conc. N. 08/2006;LIDO CHIMERA;1050;;;;;70;
43;SPERLONGA;LOCALITA' BAZZANO;CARDOGNA RENATO;SB;Conc. N. 05/2009;LIDO BAZZANO BEACH;1117;183;;;183;65;
44;SPERLONGA;LOCALITA' LAGO LUNGO;MAREDUNA S.A.S DI FRAGIONE ROBERTO  e C;SB;Conc. N. 12/2003;LIDO MAREDUNA;1227,2;172,8;;;172,8;70;
45;SPERLONGA;LOCALITA' LAGO LUNGO;LIDO LUNA ROSSA S.A.S. di IANNITTI FERANDA;SB;Conc. N. 10/2003;LIDO LUNA ROSSA;1227,2;172,8;;;172,8;70;
46;SPERLONGA;LOCALITA' LAGO LUNGO - PALLANTE;SPAGNARDI ANTONIO;SB;Conc. N. 02/2011;LIDO SPERLONGA;1414,46;125,54;;;125,54;70;
47;SPERLONGA;LOCALITA' LAGO LUNGO;PALAZZO SERGIO;SB;Conc. N. 14/2003;LIDO IL SELVAGGIO;1227,2;172,8;;;172,8;70;
48;SPERLONGA;LOCALITA' SALETTE;SALETTE BEACH s.r.l.;SA;Conc. N. 18/2003;SALETTE BEACH;1400;;;;;70;
49;SPERLONGA;LOCALITA' SALETTE;SOC. ACQUAMARINA DI GRENGA F. &  D'ONOFRIO E.;ARS;Conc. N. 12/2004;ASSOCIAZIONE ACQUAMARINA;1315,78;84,22;;;84,22;70;
50;SPERLONGA;LOCALITA' LAGO LUNGO;ILARIO ROCCO;ER;Conc. N. 06/2004;IL VELIERO;;96,6;;;96,6;;
51;SPERLONGA;LOCALITA' LAGO LUNGO;"ASS.SPORTIVA DILETTANTISTICA ""CIRC.NAUTICO ULISSE""";ARS;Conc. N. 04/2004;CIRCOLO NAUTICO ULISSE;1176,85;223,15;;;223,15;70;
52;SPERLONGA;LOCALITA' LAGO LUNGO;ASSOCIAZIONE ITALIANA ALBERGHI PER LA GIOVENTU';SA;Conc. N. 12/2006;OSTELLO DELLA GIOVENTU';200;;;;;10;
53;SPERLONGA;VIA C.COLOMBO N.49;LIDO TRE CONCHIGLIE S.A.S. DI BATTISTA PAOLO & C.;SB;Conc. N. 08/2004;LIDO LE TRE CONCHIGLIE;1227,2;172,8;;;172,8;70;
54;SPERLONGA;GROTTA DI TIBERIO;D'ARCANGELO GIUSEPPE;SA;Conc. N. 01/2006;SOC. COSTA DI KAIR ED DIN;969,58;30,42;;;30,42;50;
55;SPERLONGA;GROTTA DI TIBERIO;RICCO CARLO G. & C. S.N.C.;SA;Conc. N. 15/2005;VILLA TIBERIO;1000;;;;;50;
56;SPERLONGA;LOCALITA' SALETTE;ASSOCIAZIONE SPORTIVA SUMMERTIME CLUB;ARS;Conc. N. 10/2008;ASS.SPORTIVA SUMMERTIME;282,57;117,43;;;117,43;20;
57;SPERLONGA;LOCALITA' LAGO LUNGO;SOCIETA' LA CALIFFA S.R.L.;SA;Conc. N. 13/2006;LA CALIFFA;1384;;;;;70;
58;SPERLONGA;LOCALITA' BAZZANO;TORRE CAPOVENTO DI SPARAGO ANTONIO & C S.A.S.;SA;Conc. N. 21/2005;TORRE CAPOVENTO;675;;;;;108,5;
59;SPERLONGA;LAGOLUNGO;BERARDI MADDALENA;SA;Conc. N. 04/2007;HOTEL MIRALAGO;700;;;;;35;
60;SPERLONGA;LOC. VALLECORSARI;LEGA NAVALE ITALIANA;ARS;Conc. N. 10/2007;LEGA NAVALE ITALIANA;400;;;;;20;
61;SPERLONGA;LOC. BAZZANO;MAGGIACOMO MONIA;ER;Conc. N. 11/2007;BLUE LAGOON;;144;;;144;;
62;SPERLONGA;LOC. SALETTE/PALLANTE;HOTEL GANIMEDE S.R.L.;SA;Conc. N. 104/2011;HOTEL GANIMEDE;925,6;91,4;;;91,4;40;
63;SPERLONGA;LOCALITA' SALETTE;SOC. GALLI S.A.S. DI GALLI U. & C.;SA;Conc. N. 23/2010;ALBERGO ELAIA GARDEN;875;;;;;43,75;
64;SPERLONGA;LOCALITA' SALETTE;SOC. NAUSICA S.R.L.;SA;Conc. N. 14/2012;HOTEL VIRGILIO;900;;;;;45;
65;SPERLONGA;GROTTA DI TIBERIO;LEGA NAVALE ITALIANA;ARS;Conc. N. 21/2012;LEGA NAVALE ITALIANA;180;;;;;12;
1;TARQUINIA;TARQUINIA LIDO;DITTA  MIRAGE DI QUATRINI PATRIZIA;SB;Conc. N. 9118/2008;MIRAGE;2056;128;366,42;75,2;569,62;54,6;
2;TARQUINIA;TARQUINIA LIDO;SOC.GRADINORO SAS DI BORDO BRUNA;SB;Conc. N. 9198/2008;GRADINORO;1735,3;332,47;273,57;350,07;956,11;46,9;
3;TARQUINIA;VOLTONE;SAINT TROPEZ SRL;SA;Conc. N. 9284/2009;SAINT TROPEZ;2870;;;;;100;
4;TARQUINIA;TARQUINIA LIDO;SOC. RIVA BLU DI ATTANASI FIORELLA E FRANCO SNC;SB;Conc. N. 9123/2008;SAN MARCO;1221;50;375,86;348,06;773,92;33;
5;TARQUINIA;TARQUINIA LIDO;SOC.TIBIDABO SAS DI STALTARI MARIA & C.;SB;Conc. N. 9314/2009;TIBIDABO;4921,92;1471,08;459;269,6;2199,68;130;
6;TARQUINIA;TARQUINIA LIDO;"A.N.M.I. (ASS.NE NAZ.LE MARINAI D'ITALIA) ""GRUPPO F.LLI NARDI""";SB;Conc. N. 9363/2010;COLONIA PER SOCI;4019;57,6;1648;70;1775,6;80;
7;TARQUINIA;TARQUINIA LIDO;LODI MANRICO;SB;Conc. N. 9313/2009;IL TIRRENO;1400;512,63;483,31;332,93;1328,87;48,6;
8;TARQUINIA;TARQUINIA LIDO;SOC. GETRURIA SAS DI PALLOTTI MARIA CATERINA;SB;Conc. N. 9227/2009;SNOOPY;3745,09;234,45;480,86;322,31;1037,62;75,6;
9;TARQUINIA;TARQUINIA LIDO;SOC. CHALET BEACH S.R.L.;SB;Conc. N. 9344/2010;CHALET DEL PESCATORE;4200;971,68;382,07;183,88;1537,63;70;
10;TARQUINIA;SANT'AGOSTINO;SOC. GO.BI. SNC DI GORETTI ALESSANDRO & C.;ARS;Conc. N. 9147/2008;SCUOLA WINDSURF E BARCA A VELA;;;257,86;;257,86;;
11;TARQUINIA;TARQUINIA LIDO;MARZI MARCO MARIA;SB;Conc. N. 9116/2008;LA PINETA;1800;454,2;459,54;134,72;1048,46;60;
12;TARQUINIA;TARQUINIA LIDO;REALI PATRIZIA;SA;Conc. N. 9120/2008;LAS VEGAS;632;76,65;218,39;79,92;374,96;16,3;
13;TARQUINIA;SPINICCI;EUROPING 2000 SRL;ER;Conc. N. 9501/2011;CHIOSCO BAR;;58,96;9,93;39,22;108,11;;
14;TARQUINIA;SPINICCI;EUROPING 2000 SRL;ER;Conc. N. 9501/2011;CHIOSCO BAR/PIZZERIA  CORTO MALTESE;;75,31;5,46;222,24;303,01;;
15;TARQUINIA;TARQUINIA LIDO;TOFFOLETTI LUCA;SB;Conc. N. 9122/2008;IL PORTICCIOLO;1414;306;225,51;;531,51;84;
16;TARQUINIA;SPINICCI;SOC. ORCHIDEA MARINA SAS DI CESARINI GIANCARLA;SB;Conc. N. 9626/2012;VILLA DEL MARE;1525;366,42;48;247;661,42;18;
17;TARQUINIA;TARQUINIA LIDO;SOC. FALCIONI & COCO'S SRL;SA;Conc. N. 9128/2008;FALCIONI;350;;45;238;283;10;
18;TARQUINIA;TARQUINIA LIDO;BORDO BRUNA;SB;Conc. N. 9379/2010;MARINA;1688,7;;514,62;222,77;737,39;43,3;
19;TARQUINIA;SANT'AGOSTINO;SOC. GO.BI. DI GORETTI ALESSANDRO & C. SNC;ER;Conc. N. 9146/2008;"CHIOSCO BAR  ""LE DUNE""";;;381,04;200;581,04;;
20;TARQUINIA;TARQUINIA LIDO;SCIPIONI NATALIA;SB;Conc. N. 9223/2009;GRAVISCA;2092,2;545,8;853,96;207,25;1607,01;63;
21;TARQUINIA;SPINICCI;SPINICCI S.R.L.;PO;Conc. N. 9744/2014;CORRIDOIO DI TRANSITO SPINICCI SRL;280;;;;;;3750
22;TARQUINIA;TARQUINIA LIDO;SOC. RIVA BLU SNC DI ATTANASI FIORELLA E FRANCO;SB;Conc. N. 9224/2009;RIVA BLU;1588,3;542,5;578,19;299,76;1420,45;57;
23;TARQUINIA;SANT'AGOSTINO;TSUNAMI SRL;SB;Conc. N. 9135/2008;FREEDOM BEACH;1733,27;;571,73;85;656,73;44;
24;TARQUINIA;TARQUINIA LIDO;COMUNE DI TARQUINIA;SB;Conc. N. 9129/2008;STABILIMENTO COMUNALE  PERLA NERA;2183;;906,48;55,87;962,35;59;
25;TARQUINIA;TARQUINIA LIDO;FEDERAZIONE ITALIANA PESCA SPORTIVA ATTIVITA' SUBACQUEA;ARS;Conc. N. 9639/2012;F.I.P.S.A.S.;2500;223;208;;431;;3750
26;TARQUINIA;TARQUINIA LIDO;TIRRENIA s.a.s. DI NOLETTI EVARISTO & C.;SB;Conc. N. 9622/2012;TAMURE';13097,5;;11,16;;11,16;201,5;
27;TARQUINIA;SANT'AGOSTINO;PAOLETTI EGIDIO;SB;Conc. N. 9124/2008;ER CORSARO;2885,59;138;1053,46;405,95;1597,41;55;
28;TARQUINIA;SANT'AGOSTINO;SOC. GIAN CRISS SAS DI CHELINI VERONICA;SA;Conc. N. 9143/2008;BOCA DO MAR;1120,47;242,64;;12;254,64;63;
29;TARQUINIA;TARQUINIA LIDO;BAGNO NANDO SAS DI GHELARDI CARLO & C.;SB;Conc. N. 9174/2008;NANDO;3569,5;254;245,9;119,5;619,4;64,9;
30;TARQUINIA;SANT'AGOSTINO;MARESOLE SRL;SB;Conc. N. 9202/2009;LA SCOGLIERA;4016,45;331,49;448,43;292,67;1072,59;53;
31;TARQUINIA;TARQUINIA LIDO;SOC. E.O.S. SRL;SA;Conc. N. 9319/2009;IL GALEONE;6597,5;78,2;28;74,5;180,7;100;3750
32;TARQUINIA;TARQUINIA LIDO;TUSCIA TIRRENICA SAS DI RENZI ROMOLO E BACCIARDI RENATO;SA;Conc. N. 9170/2008;CAMPING TUSCIA;8250;;;;;150;
33;TARQUINIA;TARQUINIA LIDO;SOC. LA ROSA DEI VENTI SAS DI ANZELLOTTI F. E R.;PO;Conc. N. 9729/2013;LA ROSA DEI VENTI;3386,42;90,08;11;;101,08;;4390,3
34;TARQUINIA;TARQUINIA LIDO;ASSOCIAZIONE GRUPPO SPORTIVO PESCATORI PORTO CLEMENTINO;PO;Conc. N. 9635/2012;RIMESSAGGIO A.G.S.P.P.C.;345,35;;14,65;;14,65;17,65;
35;TARQUINIA;TARQUINIA LIDO;MAYOR 75  S.R.L.;SA;Conc. N. 9231/2009;GRAND HOTEL HELIOS;1520;;;;;40;
36;TARQUINIA;VOLTONE;MAYOR 75  S.R.L.;SA;Conc. N. 9232/2009;TORRE DEL SOLE;5175;;;;;150;
37;TARQUINIA;SANT'AGOSTINO;SOC. SPIAGGIA DI SANT'AGOSTINO Srl;ER;Conc. N. 9164/2008;CHIOSCO  L'ALTRA ISOLA;;150,64;;213,4;364,04;;
38;TARQUINIA;SANT'AGOSTINO;SOC. LE VILLETTE SNC DI CASTAGNOLA GIANCARLO;SB;Conc. N. 9230/2009;LE VILLETTE;93,84;93;332,43;56,8;482,23;98;
39;TARQUINIA;VOLTONE;SOC. IMM. TELCA S.R.L.;SA;Conc. N. 9378/2010;LE CANNUCCE;2294;;;;;62;
40;TARQUINIA;VOLTONE;SOC. GIOVANNINI SAS DI GIOVANNINI ALESSANDRO & C.;SA;Conc. N. 9373/2010;MARINA VELCA BEACH;1875;;;;;75;
41;TARQUINIA;TARQUINIA LIDO;VELA CLUB TARKNA;ARS;Conc. N. 9719/2013;VELA CLUB TARKNA;2900;;19;;19;58;3750
42;TARQUINIA;SPINICCI;SOC. MARETOUR SRL;PO;Conc. N. 9528/2011;CORRIDOIO DI TRANSITO MARETOUR SRL;180;;;;;;3750
43;TARQUINIA;TARQUINIA LIDO;HAPPY DAYS SAS DI PAOLO PONTI;SB;Conc. N. 9361/2010;HAPPY DAYS BEACH;1485,2;;119,29;125,51;244,8;34,6;
1;TERRACINA;PORTO BADINO (sponda destra);SOC. ELMAR DI CAROZZA ELVIO & C. S.A.S.;PO;Conc. N. N. 80/2004;NAUTICA DA DIPORTO;;;;;;;97,5
2;TERRACINA;PORTO BADINO;SOC. CAPO NORD S.R.L.;PO;Conc. N. N. 20/2006;NAUTICA DA DIPORTO;;;;;;;98,19
3;TERRACINA;ACQUA MAGNESIACA;SOC. L'OSTRICARO DI D'ONOFRIO VINCENZO & C. S.A.S.;ER;Conc. N. N. 65/2005;"RISTORANTE""L'OSTRICARO""";979;;;1799;1799;;12
4;TERRACINA;PORTO SALVO;GIRARDO GUIDO;ER;Conc. N. N. 54/2007;"RISTORANTE""PORTO SALVO""";1158,71;37,4;;637,94;675,34;;
5;TERRACINA;SPIAGGIA DI LEVANTE;SOC. LA CAPANNINA 2000 S.R.L.;ER;Conc. N. N. 64/2005;"RISTORANTE""LA CAPANNINA""";910;464;;436;900;;
6;TERRACINA;RIVIERA DI LEVANTE - LUNGOMARE MATTEOTTI,1;SOC. AGOSTINO A MARE S.R.L.;ER;Conc. N. N. 78/2006;"RISTORANTE ""IL GRAPPOLO D'UVA""";3852;323;;435;758;25;
7;TERRACINA;SPIAGGIA DI LEVANTE - LUNGOMARE MATTEOTTI,2;SOC. GRAND HOTEL PALACE S.R.L.;SR;Conc. N. N. 23/2008;GRAND HOTEL PALACE;6073,78;62;;;62;47;
8;TERRACINA;SPIAGGIA DI LEVANTE - LUNGOMARE MATTEOTTI snc;CHIOSCO LA ROTONDA DI PENCI ROBERTA & C. S.A.S.;SB;Conc. N. N. 22/2008;CHIOSCO LA ROTONDA;4536,01;297,52;;;297,52;51,37;
9;TERRACINA;SPIAGGIA DI LEVANTE - LUNGOMARE MATTEOTTI;SOC. RIVE DI TRAIANO S.R.L.;SB;Conc. N. N. 44/2005;CHIOSCO BAR;5660,31;293,77;;;293,77;37;
10;TERRACINA;SPONDA DESTRA DEL PORTO CANALE VIA DEL MOLO,10;CENCIA ERASMO FRANCESCO SAVERIO;ER;Conc. N. N. 10 /2006;"RISTORANTE ""LA DARSENA""";;;235;;235;;
11;TERRACINA;PORTO (SPONDA DESTRA DEL PORTO CANALE);SOC. LE PALME DI OLLEIA E TINTARI S.N.C.;ER;Conc. N. N. 66/2006;"CHIOSCO BAR ""LE PALME""";167,73;57,97;;;57,97;;
12;TERRACINA;PORTO (SPONDA DESTRA DEL PORTO CANALE);COMUNE DI TERRACINA - CENTRO TURISTICO;ARS;Conc. N. N. 03/1995;"CENTRO SPORTIVO ""IL MOLO""";13017,38;;;343,12;343,12;;
13;TERRACINA;PORTO SPONDA DX DEL PORTO CANALE VIA C. COLOMBO;DI FIORE PAOLA;ER;Conc. N. N. 36/2008;"CHIOSCO-BAR ""LA PINETA""";280,92;71,68;;;71,68;;
14;TERRACINA;SPONDA DESTRA DEL PORTO CANALE;SOC. F.LLI DE LUCA LUIGI E PAOLO S.N.C.;PO;Conc. N. N. 2/2006;ANNESSO A SPECCHIO ACQUEO CONC. 3/06;;;20;;20;;
15;TERRACINA;SPONDA DESTRA DEL PORTO CANALE;SOC. BAR DEL MOLO DI MARZULLO S. E G. S.N.C;ER;Conc. N. N. 52/2006;"CHIOSCO-BAR ""IL MOLO""";62,67;129,39;;;129,39;;
16;TERRACINA;SPONDA DESTRA DEL PORTO CANALE VIA DEL MOLO,40;ASSOCIAZIONE NAZIONALE MARINAI D'ITALIA;ARS;Conc. N. N. 29/2007;;174,37;335,11;90,25;;425,36;;
17;TERRACINA;VIA DELLA BATTERIA;"""SO.CO.GE.A.""SOC. COSTRUZIONE E GESTIONE ALBERGHIERA A.R.L.";SR;Conc. N. N. 34 REG. e N. 117 REP. del 12.07.2007;"ALBERGO ""L'APPRODO""";6337;;;;;;
18;TERRACINA;VIA DELLA BATTERIA;"""SO.CO.GE.A.""SOC. COSTRUZIONE E GESTIONE ALBERGHIERA A.R.L.";SR;Conc. N. N. 34 REG. e N. 117 REP. del 12.07.2007;TURISTICO-RICREATIVO;1472;;;;;47;
19;TERRACINA;VIALE CIRCE n. 1;SOC. SIRENELLA S.R.L.;SB;Conc. N. N. 143/2004;"STABILIMENTO BALNEARE ""SIRENELLA""";6223,57;72,47;58,74;195,22;326,43;131;
20;TERRACINA;VIALE CIRCE ALTEZZA VIA DANTE ALIGHIERI;SOC. F.LLI PERRONI A. & G. MOLINARO COLOMBA S.N.C.;SB;Conc. N. N. 153/2004;"STABILIMENTO BALNEARE ""ALBERTO A MARE""";2280,43;25,02;;194,55;219,57;50;
21;TERRACINA;VIALE CIRCE ALTEZZA VIA DANTE ALIGHIERI;PERRONI IVANO;SB;Conc. N. N. 156/2004;"STABILIMENTO BALNEARE ""IL SOMBRERO""";1054,75;28,5;8;158,75;195,25;50;
22;TERRACINA;SPIAGGIA DI PONENTE VIALE CIRCE;SOC. ORSA MAGGIORE DI PERRONI C. E GROSSI O. S.N.C.;SB;Conc. N. N. 154/2004;"STABILIMENTO BALNEARE ""ORSA MAGGIORE""";2026,63;34,05;9,42;179,9;223,37;50;
23;TERRACINA;VIALE CIRCE ALTEZZA VIA EINAUDI;SOC. SIRENA DEL MARE DI PERRONI MARISA & C. S.N.C.;SB;Conc. N. N. 150/2004;"STABILIMENTO BALNEARE ""SIRENA DEL MARE""";1065,4;35,3;13;136,3;184,6;50;
24;TERRACINA;VIALE CIRCE ALTEZZA VIA DEL PIEGARELLO;SOC. V.I.B. S.R.L.;ER;Conc. N. N. 148/2004;"STABILIMENTO BALNEARE ""LA ROTONDA""";;40;;86,62;126,62;;
25;TERRACINA;VIALE CIRCE ALTEZZA VIA DEL PIEGARELLO;"""CITTA' DI TERRACINA""- ARENILE COMUNALE ATTREZZATO";SA;Conc. N. N. 138/2003;;860,09;11,91;;;11,91;100;
26;TERRACINA;SPIAGGIA DI PONENTE VIALE CIRCE;SOC. IL GABBIANO DI RECCHIA E. & PERRONI C. S.N.C.;SB;Conc. N. N. 147/2004;"STABILIMENTO BALNEARE ""IL GABBIANO""";1819,7;39,85;4,7;88,75;133,3;43,4;
27;TERRACINA;SPIAGGIA DI PONENTE VIALE CIRCE;SOC. MILLENIUM DI PIZZARDI GIORDANO & C. S.A.S.;SB;Conc. N. N. 244/2008;"STABILIMENTO BALNEARE ""SUN BEACH""";987;101;;;101;;
28;TERRACINA;SPIAGGIA DI PONENTE VIALE CIRCE;SOC. MARICEF S.R.L.;SB;Conc. N. N. 152/2004;"STABILIMENTO BALNEARE ""LA PLAYA""";1975,49;40,41;;124;164,41;50;
29;TERRACINA;VIALE CIRCE ALTEZZA VIA SICILIA;"""CITTA' DI TERRACINA""- ARENILE COMUNALE ATTREZZATO";SA;Conc. N. N. 297/2011;;1000;;;;;100;
30;TERRACINA;VIALE CIRCE ALTEZZA VIA SICILIA;SOC. STAB. AMERIGO DI PERRONI ANNA E AMERIGO  & C. S.A.S.;SB;Conc. N. N. 144/2004;"STABILIMENTO BALNEARE ""AMERIGO""";2025,48;38,97;6,7;178,85;224,52;50;
31;TERRACINA;VIALE CIRCE ALTEZZA VIA CALABRIA;SOC. KURSAAL DI COLABATTISTA LUCIANA E PAOLA S.N.C.;SB;Conc. N. N. 149/2004;"STABILIMENTO BALNEARE ""KURSAAL""";2037,28;65,67;;223,55;289,22;51,7;
32;TERRACINA;VIALE CIRCE ALTEZZA VIA CALABRIA;DOPOLAVORO FERROVIARIO DI FORMIA;SB;Conc. N. N. 275/2008;"""DOPOLAVORO FERROVIARIO""";1927,08;152,92;;;152,92;41,6;
33;TERRACINA;VIALE CIRCE ALTEZZA VIA BASILICATA;SOC. AURORA IIø S.A.S. DI FUSCO MICHELE & C.;SB;Conc. N. N. 161/2004;"STABILIMENTO BALNEARE ""AURORA""";3302,2;16,96;40,84;140;197,8;50;
34;TERRACINA;VIALE CIRCE ALTEZZA VIA BASILICATA;SOC. CIRCE DI GASPARUTTI CHRISTIAN & FABRIZIO S.N.C.;SB;Conc. N. N. 162/2004;"STABILIMENTO BALNEARE ""LIDO CIRCE""";2795,91;57,03;;147,06;204,09;100;
35;TERRACINA;VIALE CIRCE ALTEZZA VIA CAMPANIA;"""CITTA' DI TERRACINA""- ARENILE COMUNALE ATTREZZATO";SA;Conc. N. N. 298/2011;;1400;;;;;140;
36;TERRACINA;SPIAGGIA DI PONENTE VIALE CIRCE;DI LELLO GINO;SB;Conc. N. N. 145/2004;"STABILIMENTO BALNEARE ""IL CORALLO""";2129,32;33,05;6,63;131;170,68;50;
37;TERRACINA;SPIAGGIA DI PONENTE VIALE CIRCE;SOC. JOLLY BEACH DI ALLA GIUSEPPE & C. S.A.S.;SB;Conc. N. N. 250/2008;"CHIOSCO-BAR ""JOLLY BEACH""";.548,08;131,92;;;131,92;84;
38;TERRACINA;VIALE CIRCE ALTEZZA VIA SARDEGNA;DE CARLO PIERGIORGIO;SB;Conc. N. N. 146/2004;"STABILIMENTO BALNEARE ""LA LANTERNA""";2133,26;63,24;7,5;196;266,74;80;
39;TERRACINA;VIALE CIRCE ALTEZZA VIA MOLISE;SOC. CLIPPER DI FEDELE CATIA &C. S.A.S.;SB;Conc. N. N. 160/2004;"STABILIMENTO BALNEARE ""CLIPPER""";1569,48;33,22;;147,3;180,52;50;
40;TERRACINA;VIALE CIRCE ALTEZZA VIA UMBRIA;SOC. ULISSE 2002 DI MARZULLO PIERO & C. S.N.C.;SB;Conc. N. N. 164/2004;"STABILIMENTO BALNEARE ""ULISSE""";1043,28;31,91;24,81;180;236,72;80;
41;TERRACINA;RIVIERA DI LEVANTE;A.S. TERRANOVA TERRACINA BEACH SOCCER;ARS;Conc. N. N. 35/2007;;1968,13;705,55;;;705,55;;
42;TERRACINA;VIA PROVINCIALE PER SAN FELICE CIRCEO KM. 7,200;ASS.NE CIRCOLO VELICO PALINURO;ARS;Conc. N. N. 278/2008;CIRCOLO VELICO PALINURO;3986,13;13,87;;;13,87;80;
43;TERRACINA;SPONDA DESTRA PORTO BADINO;SOC. NAUTILAND S.R.L.;PO;Conc. N. N. 12/2008;;4;;;;;;255
44;TERRACINA;PORTO BADINO SPONDA DESTRA;ASS.NE TORRE BADINO YACHTING CLUB;PO;Conc. N. N. 39/2006;;200;;;;;;1500
45;TERRACINA;VIA PROVINCIALE PER SAN FELICE CIRCEO KM. 8,600;SOC. PENSIONE ANNA S.A.S. DI SAVIANI ALESSANDRA & C. S.A.S.;SR;Conc. N. N. 174/2004;PENSIONE ANNA;9000;;;;;150;
